scientific_name,authority
Animalia,
Lumbricus terrestris,"Linnaeus, 1758"
Polychaeta,"Grube, 1850"
Polynoidae,"Kinberg, 1856"
Hemipodia simplex,"(Grube, 1857)"
Nereididae,"Blainville, 1818"
Nereis,"Linnaeus, 1758"
Nereis procera,"Ehlers, 1868"
Nereis vexillosa,"Grube, 1851"
Platynereis,"Kinberg, 1865"
Canalipalpata,"Rouse & Fauchald, 1997 non Linnaean"
Phragmatopoma californica,"(Fewkes, 1889)"
Serpulidae,"Rafinesque, 1815"
Spirorbis,"Daudin, 1800"
Dodecaceria concharum,"Örsted, 1843"
Pectinaria granulata,"(Linnaeus, 1767)"
Thelepus crispus,"Johnson, 1901"
Notomastus tenuis,"Moore, 1909"
Neomolgus littoralis,"(Linnaeus, 1758)"
Pycnogonida,"Latreille, 1810"
Crustacea,"Brünnich, 1772"
Cirripedia,"Burmeister, 1834"
Pollicipes polymerus,"Sowerby, 1833"
Semibalanus,"Pilsbry, 1916"
Semibalanus cariosus,"(Pallas, 1788)"
Balanus,"Costa, 1778"
Balanus crenatus,"Bruguière, 1789"
Balanus glandula,"Darwin, 1854"
Chthamalus,"Ranzani, 1817"
Chthamalus dalli,"Pilsbry, 1916"
Porcellanidae,"Haworth, 1825"
Pachycheles rudis,"Stimpson, 1859"
Petrolisthes,"Stimpson, 1858"
Petrolisthes cinctipes,"(Randall, 1840)"
Petrolisthes eriomerus,"Stimpson, 1871"
Emerita analoga,"(Stimpson, 1857)"
Acantholithodes hispidus,"(Stimpson, 1860)"
Hapalogaster mertensii,"Brandt, 1850"
Oedignathus inermis,"(Stimpson, 1860)"
Cryptolithodes,"Brandt, 1848"
Cryptolithodes sitchensis,"Brandt, 1853"
Cryptolithodes typicus,"Brandt, 1848"
Lopholithodes mandtii,"Brandt, 1848"
Phyllolithodes papillosus,"Brandt, 1848"
Pagurus,"Fabricius, 1775"
Pagurus beringanus,"(Benedict, 1892)"
Pagurus caurinus,"Hart, 1971"
Pagurus granosimanus,"(Stimpson, 1859)"
Pagurus hemphilli,"(Benedict, 1892)"
Pagurus hirsutiusculus,"(Dana, 1851)"
Pagurus samuelis,"(Stimpson, 1857)"
Brachyura,"Latreille, 1802"
Cancer,"Linnaeus, 1758"
Cancer gracilis,"Dana, 1852"
Cancer magister,"Dana, 1852"
Cancer productus,"Randall, 1840"
Glebocarcinus oregonensis,"(Dana, 1852)"
Telmessus cheiragonus,"(Tilesius, 1815)"
Pugettia,"Dana, 1851"
Pugettia gracilis,"Dana, 1851"
Pugettia producta,"(Randall, 1840)"
Pugettia richii,"Dana, 1851"
Oregonia gracilis,"Dana, 1851"
Carcinus maenas,"(Linnaeus, 1758)"
Lophopanopeus bellus,"(Stimpson, 1860)"
Pachygrapsus crassipes,"Randall, 1840"
Hemigrapsus,"Dana, 1851"
Hemigrapsus nudus,"(Dana, 1851)"
Hemigrapsus oregonensis,"(Dana, 1851)"
Pinnixa chaetopterana,"Stimpson, 1860"
Fabia subquadrata,"Dana, 1851"
Caridea,"Dana, 1852"
Heptacarpus stylus,"(Stimpson, 1864)"
Crangon,"Fabricius, 1798"
Pandalus,"Leach, 1814"
Pandalus danae,"Stimpson, 1857"
Pandalus platyceros,"Brandt, 1851"
Euphausiacea,"Dana, 1852"
Amphipoda,"Latreille, 1816"
Gammaridea,"Latreille, 1802"
Hyperiidae,"Dana, 1852"
Caprellidae,"Leach, 1814"
Caprella alaskana,"Mayer, 1903"
Corophium volutator,"(Pallas, 1766)"
Isopoda,"Latreille, 1816"
Gnorimosphaeroma oregonense,"(Dana, 1853)"
Pentidotea,"Richardson, 1905"
Pentidotea kirchanskii,"(Miller & Lee, 1970)"
Pentidotea resecata,"(Stimpson, 1857)"
Pentidotea wosnesenskii,"(Brandt, 1851)"
Mysida,"Boas, 1883"
Staphylinidae,"Latreille, 1804"
Bryozoa,
Bugula,"Oken, 1815"
Eurystomella bilabiata,"(Hincks, 1884)"
Hippodiplosia insculpta,"(Hincks, 1883)"
Flustrellidra corniculata,"(Smitt, 1872)"
Chordata,"Haeckel, 1874"
Tunicata,"Lamarck, 1816"
Clavelina huntsmani,"Van Name, 1931"
Distaplia,"Della Valle, 1881"
Archidistoma psammion,"(Ritter & Forsyth, 1917)"
Aplidium solidum,"(Ritter & Forsyth, 1917)"
Ritterella,"Harant, 1931"
Ritterella rubra,"Abbott & Trason, 1968"
Ascidia,"Linnaeus, 1767"
Perophora annectens,"Ritter, 1893"
Styela,"Fleming, 1822"
Styela montereyensis,"(Dall, 1872)"
Styela yakutatensis,"Ritter, 1901"
Alosa sapidissima,"(Wilson, 1811)"
Clupea pallasii,"Valenciennes, 1847"
Sardinops sagax,"(Jenyns, 1842)"
Engraulis mordax,"Girard, 1854"
Gadus chalcogrammus,"Pallas, 1814"
Gadus macrocephalus,"Tilesius, 1810"
Microgadus proximus,"(Girard, 1854)"
Aulorhynchus flavidus,"Gill, 1861"
Gasterosteus aculeatus,"Linnaeus, 1758"
Gobiesox maeandricus,"(Girard, 1858)"
Rimicola muscarum,"(Meek & Pierson, 1895)"
Hypomesus pretiosus,"(Girard, 1854)"
Gibbonsia metzi,"Hubbs, 1927"
Rhinogobiops nicholsii,"(Bean, 1882)"
Clevelandia ios,"(Jordan & Gilbert, 1882)"
Lepidogobius lepidus,"(Girard, 1858)"
Embiotocidae,"Agassiz, 1853"
Amphistichus rhodoterus,"(Agassiz, 1854)"
Brachyistius frenatus,"Gill, 1862"
Cymatogaster aggregata,"Gibbons, 1854"
Embiotoca lateralis,"Agassiz, 1854"
Rhacochilus vacca,"(Girard, 1855)"
Ammodytes hexapterus,"Pallas, 1814"
Trichodon trichodon,"(Tilesius, 1813)"
Anarrhichthys ocellatus,"Ayres, 1855"
Apodichthys flavidus,"Girard, 1854"
Pholis laeta,"(Cope, 1873)"
Ptilichthys goodei,"Bean, 1881"
Chirolophis decoratus,"(Jordan & Snyder, 1902)"
Lumpenus sagitta,"Wilimovsky, 1956"
Anoplarchus insignis,"Gilbert & Burke, 1912"
Anoplarchus purpurescens,"Gill, 1861"
Xiphister mucosus,"(Girard, 1858)"
Citharichthys sordidus,"(Girard, 1854)"
Citharichthys stigmaeus,"Jordan & Gilbert, 1882"
Lepidopsetta bilineata,"(Ayres, 1855)"
Parophrys vetulus,"Girard, 1854"
Platichthys stellatus,"(Pallas, 1787)"
Pleuronichthys coenosus,"Girard, 1854"
Pleuronichthys decurrens,"Jordan & Gilbert, 1881"
Psettichthys melanostictus,"Girard, 1854"
Oncorhynchus gorbuscha,"(Walbaum, 1792)"
Oncorhynchus kisutch,"(Walbaum, 1792)"
Oncorhynchus mykiss,"(Walbaum, 1792)"
Oncorhynchus tshawytscha,"(Walbaum, 1792)"
Salvelinus malma,"(Walbaum, 1792)"
Odontopyxis trispinosa,"Lockington, 1880"
Pallasina barbata,"(Steindachner, 1876)"
Cottidae,"Bonaparte, 1831"
Artedius fenestralis,"Jordan & Gilbert, 1883"
Artedius lateralis,"(Girard, 1854)"
Chitonotus pugetensis,"(Steindachner, 1876)"
Clinocottus acuticeps,"(Gilbert, 1896)"
Cottus asper,"Richardson, 1836"
Enophrys bison,"(Girard, 1854)"
Hemilepidotus hemilepidotus,"(Tilesius, 1811)"
Leptocottus armatus,"Girard, 1854"
Myoxocephalus polyacanthocephalus,"(Pallas, 1814)"
Oligocottus maculosus,"Girard, 1856"
Oligocottus rimensis,"(Greeley, 1899)"
Scorpaenichthys marmoratus,"(Ayres, 1854)"
Synchirus gilli,"Bean, 1890"
Blepsias cirrhosus,"(Pallas, 1814)"
Nautichthys oculofasciatus,"(Girard, 1858)"
Rhamphocottus richardsonii,"Günther, 1874"
Hexagrammos decagrammus,"(Pallas, 1810)"
Hexagrammos lagocephalus,"(Pallas, 1810)"
Hexagrammos stelleri,"Tilesius, 1810"
Ophiodon elongatus,"Girard, 1854"
Oxylebius pictus,"Gill, 1862"
Sebastes,"Cuvier, 1829"
Sebastes brevispinis,"(Bean, 1884)"
Sebastes caurinus,"Richardson, 1844"
Sebastes ciliatus,"(Tilesius, 1813)"
Sebastes diaconus,"Frable, Wagman, Frierson, Aguilar & Sidlauskas, 2015"
Sebastes flavidus,"(Ayres, 1862)"
Sebastes maliger,"(Jordan & Gilbert, 1880)"
Sebastes melanops,"Girard, 1856"
Sebastes miniatus,"(Jordan & Gilbert, 1880)"
Sebastes nebulosus,"Ayres, 1854"
Sebastes nigrocinctus,"Ayres, 1859"
Sebastes paucispinis,"Ayres, 1854"
Syngnathus leptorhynchus,"Girard, 1854"
Hydrolagus colliei,"(Lay & Bennett, 1839)"
Actiniaria,"Hertwig, 1882"
Anthopleura,"Duchassaing de Fonbressin & Michelotti, 1860"
Anthopleura artemisia,"(Pickering in Dana, 1846)"
Anthopleura elegantissima,"(Brandt, 1835)"
Anthopleura sola,"Pearse & Francis, 2000"
Anthopleura xanthogrammica,"(Brandt, 1835)"
Epiactis lisbethae,"Fautin & Chia, 1986"
Epiactis ritteri,"Torrey, 1902"
Urticina crassicornis,"(Müller, 1776)"
Metridium,"de Blainville, 1824"
Alcyonacea,"Lamouroux, 1812"
Stauromedusae,"Haeckel, 1879"
Hydrozoa,"Owen, 1843"
Ectopleura,"L. Agassiz, 1862"
Polyorchis penicillatus,"(Eschscholtz, 1829)"
Eudendrium californicum,"Torrey, 1902"
Clava,
Aequorea,"Péron & Lesueur, 1810"
Mitrocoma cellularia,"(Agassiz, 1862)"
Aglaophenia latirostris,"Nutting, 1900"
Sertularella turgida,"(Trask, 1857)"
Abietinaria,"Kirchenpauer, 1884"
Abietinaria greenei,"(Murray, 1860)"
Amphisbetia furcata,"(Trask, 1857)"
Gonionemus vertens,"A. Agassiz, 1862"
Cyanea capillata,"(Linnaeus, 1758)"
Aurelia labiata,"Chamisso & Eysenhardt, 1821"
Ctenophora,"Eschscholtz, 1829"
Pleurobrachia bachei,"A. Agassiz, in L. Agassiz, 1860"
Asteroidea,"de Blainville, 1830"
Pteraster,"Müller & Troschel, 1842"
Pteraster militaris,"(O.F. Müller, 1776)"
Pteraster tesselatus,"Ives, 1888"
Evasterias troschelii,"(Stimpson, 1862)"
Leptasterias,"Verrill, 1866"
Leptasterias aequalis,"(Stimpson, 1862)"
Leptasterias hexactis,"(Stimpson, 1862)"
Lethasterias nanimensis,"(Verrill, 1914)"
Orthasterias koehleri,"(deLoriol, 1897)"
Pisaster,"Müller & Troschel, 1840"
Pisaster brevispinus,"(Stimpson, 1857)"
Pisaster giganteus,"(Stimpson, 1857)"
Pisaster ochraceus,"(Brandt, 1835)"
Stylasterias forreri,"(deLoriol, 1887)"
Pycnopodia helianthoides,"(Brandt, 1835)"
Henricia,"Gray, 1840"
Henricia aspera aspera,"Fisher, 1906"
Henricia leviuscula leviuscula,"(Stimpson, 1857)"
Henricia pumila,"Eernisse, Strathmann & Strathmann, 2010"
Henricia sanguinolenta,"(O.F. Müller, 1776)"
Luidia foliolata,"Grube, 1866"
Gephyreaster swifti,"(Fisher, 1905)"
Asterina miniata,"(Brandt, 1835)"
Dermasterias imbricata,"(Grube, 1857)"
Ceramaster patagonicus,"(Sladen, 1889)"
Hippasteria spinosa,"Verrill, 1909"
Mediaster aequalis,"Stimpson, 1857"
Poraniopsis inflata,"(Fisher, 1906)"
Crossaster papposus,"(Linnaeus, 1767)"
Lophaster furcilliger,"Fisher, 1905"
Solaster,"Forbes, 1839"
Solaster dawsoni,"Verrill, 1880"
Solaster endeca,"(Linnaeus, 1771)"
Solaster paxillatus,"Sladen, 1889"
Solaster stimpsoni,"Verrill, 1880"
Ophiuroidea,"Gray, 1840"
Florometra serratissima,"(AH Clark, 1907)"
Echinoidea,"Schumacher, 1817"
Mesocentrotus franciscanus,"(A. Agassiz, 1863)"
Strongylocentrotus,"Brandt, 1835"
Strongylocentrotus droebachiensis,"(O.F. Müller, 1776)"
Strongylocentrotus pallidus,"(Sars G.O., 1872)"
Strongylocentrotus purpuratus,"(Stimpson, 1857)"
Holothuroidea,"de Blainville, 1834"
Cucumaria,"de Blainville, 1830"
Cucumaria miniata,"(Brandt, 1835)"
Cucumaria pseudocurata,"Deichmann, 1938"
Pseudocnus,"Panning, 1949"
Pseudocnus curatus,"(Cowles, 1907)"
Parastichopus californicus,"(Stimpson, 1857)"
Bivalvia,"Linnaeus, 1758"
Entodesma navicula,"(A. Adams & Reeve, 1850)"
Clinocardium nuttallii,"(Conrad, 1837)"
Macoma,"Leach, 1819"
Macoma balthica,"(Linnaeus, 1758)"
Macoma inquinata,"(Deshayes, 1855)"
Macoma nasuta,"(Conrad, 1837)"
Mya arenaria,"Linnaeus, 1758"
Platyodon cancellatus,"(Conrad, 1837)"
Saxidomus gigantea,"(Deshayes, 1839)"
Leukoma staminea,"(Conrad, 1837)"
Mytilidae,"Rafinesque, 1815"
Mytilus,"Linnaeus, 1758"
Mytilus californianus,"Conrad, 1837"
Mytilus trossulus,"A. Gould, 1850"
Anomiidae,"Rafinesque, 1815"
Pododesmus macrochisma,"(Deshayes, 1839)"
Pectinidae,"Rafinesque, 1815"
Chlamys,"Röding, 1798"
Chlamys hastata,"(G. B. Sowerby II, 1842)"
Crassadoma gigantea,"(J. E. Gray, 1825)"
Patinopecten caurinus,"(A. Gould, 1850)"
Rossia pacifica,"S. S. Berry, 1911"
Enteroctopus dofleini,"(Wülker, 1910)"
Octopus rubescens,"S. S. Berry, 1953"
Gastropoda,"Cuvier, 1795"
Batillaria,"W. H. Benson, 1842"
Batillaria zonalis,"(Bruguière, 1792)"
Neostylidium eschrichtii,"(Middendorff, 1849)"
Epitonium,"Röding, 1798"
Crepidula,"Lamarck, 1799"
Trichotropis cancellata,"Hinds, 1843"
Lacuna,"W. Turton, 1827"
Lacuna vincta,"(Montagu, 1803)"
Littorina,"A. Férussac, 1822"
Littorina plena,"A. Gould, 1849"
Littorina scutulata,"A. Gould, 1849"
Littorina sitkana,"R. A. Philippi, 1846"
Euspira lewisii,"(A. Gould, 1847)"
Fusitriton oregonensis,"(Redfield, 1846)"
