scientific_name,rank,taxonomic_status,common_name,AphiaID,WORMS url,WORMS Api url,LSID,Run script,kingdom,subkingdom,infrakingdom,phylum,subphylum,infraphylum,superclass,class,subclass,infraclass,subterclass,superorder,order,suborder,infraorder,parvorder,section,subsection,superfamily,epifamily,family,subfamily,supertribe,tribe,subtribe,genus,subgenus,species,subspecies,parent,codes,taxon_ID,images,Species List,MARINe Codes
BIOTA,SUPERDOMAIN,ACCEPTED,All of Life,1,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1,https://www.marinespecies.org/rest/AphiaClassificationByAphiaID/1,urn:lsid:marinespecies.org:taxname:1,https://airtable.com/tblLqtIyuwA7rbEC3/reciqeu4Nmk0QGQZV?blocks=bli5ItEhTDGAFc32p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCUZ,unka,unka,NCCR,NCC",reciqeu4Nmk0QGQZV,,,"OTHALG,DEAINV,OTHINV,UNIDEN"
- Empty Quad -,,,,,,,,https://airtable.com/tblLqtIyuwA7rbEC3/rec9OZSf4mNzF8OV1?blocks=bli5ItEhTDGAFc32p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER,NONE,rec9OZSf4mNzF8OV1,,,
- Water -,,,,,,,,https://airtable.com/tblLqtIyuwA7rbEC3/recExUiIqqau4uqNF?blocks=bli5ItEhTDGAFc32p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER,WATER,recExUiIqqau4uqNF,,,
- Unknown Crust -,,,,,,,,https://airtable.com/tblLqtIyuwA7rbEC3/recINJrGXbcyhzaZH?blocks=bli5ItEhTDGAFc32p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER,UNCRU,recINJrGXbcyhzaZH,,,NONCRU
- Bare sand -,,,,,,,,https://airtable.com/tblLqtIyuwA7rbEC3/recJsuQuaMZstbQdu?blocks=bli5ItEhTDGAFc32p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER,SAND,recJsuQuaMZstbQdu,,,SAND
- Rock -,,,,,,,,https://airtable.com/tblLqtIyuwA7rbEC3/recUXfNnfKrEFpbws?blocks=bli5ItEhTDGAFc32p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER,ROCK,recUXfNnfKrEFpbws,,,ROCK
OTHER,,,,,,,,https://airtable.com/tblLqtIyuwA7rbEC3/recn8qz7BDvz5WpUk?blocks=bli5ItEhTDGAFc32p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recn8qz7BDvz5WpUk,,,
Animalia,KINGDOM,ACCEPTED,Animals,2,http://www.marinespecies.org/aphia.php?p=taxdetails&id=2,https://www.marinespecies.org/rest/AphiaClassificationByAphiaID/2,urn:lsid:marinespecies.org:taxname:2,https://airtable.com/tblLqtIyuwA7rbEC3/recLjpocXhsyMFF4R?blocks=bli5ItEhTDGAFc32p,Animalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOTA,"UNWO,unwo,CAEG,UNEG",recLjpocXhsyMFF4R,,,
Annelida,PHYLUM,ACCEPTED,,882,http://www.marinespecies.org/aphia.php?p=taxdetails&id=882,https://www.marinespecies.org/rest/AphiaClassificationByAphiaID/882,urn:lsid:marinespecies.org:taxname:882,https://airtable.com/tblLqtIyuwA7rbEC3/recMaRwFadBWgNZfL?blocks=bli5ItEhTDGAFc32p,Animalia,,,Annelida,,,,,,,,,,,,,,,,,,,,,,,,,,Animalia,,recMaRwFadBWgNZfL,,,
Clitellata,CLASS,ACCEPTED,,14165,http://www.marinespecies.org/aphia.php?p=taxdetails&id=14165,https://www.marinespecies.org/rest/AphiaClassificationByAphiaID/14165,urn:lsid:marinespecies.org:taxname:14165,https://airtable.com/tblLqtIyuwA7rbEC3/reccGyCS9UExGLlme?blocks=bli5ItEhTDGAFc32p,Animalia,,,Annelida,,,,Clitellata,,,,,,,,,,,,,,,,,,,,,,Annelida,,reccGyCS9UExGLlme,,,
Oligochaeta,SUBCLASS,ACCEPTED,,2036,http://www.marinespecies.org/aphia.php?p=taxdetails&id=2036,https://www.marinespecies.org/rest/AphiaClassificationByAphiaID/2036,urn:lsid:marinespecies.org:taxname:2036,https://airtable.com/tblLqtIyuwA7rbEC3/recLYnw8yyjyYLWFx?blocks=bli5ItEhTDGAFc32p,Animalia,,,Annelida,,,,Clitellata,Oligochaeta,,,,,,,,,,,,,,,,,,,,,Clitellata,,recLYnw8yyjyYLWFx,,,
Crassiclitellata,ORDER,ACCEPTED,,468018,http://www.marinespecies.org/aphia.php?p=taxdetails&id=468018,https://www.marinespecies.org/rest/AphiaClassificationByAphiaID/468018,urn:lsid:marinespecies.org:taxname:468018,https://airtable.com/tblLqtIyuwA7rbEC3/recbOAvEKSxkWfyXa?blocks=bli5ItEhTDGAFc32p,Animalia,,,Annelida,,,,Clitellata,Oligochaeta,,,,Crassiclitellata,,,,,,,,,,,,,,,,,Oligochaeta,,recbOAvEKSxkWfyXa,,,
Lumbricina,SUBORDER,ACCEPTED,,14164,http://www.marinespecies.org/aphia.php?p=taxdetails&id=14164,https://www.marinespecies.org/rest/AphiaClassificationByAphiaID/14164,urn:lsid:marinespecies.org:taxname:14164,https://airtable.com/tblLqtIyuwA7rbEC3/recFMPkCMVPZ8SAyG?blocks=bli5ItEhTDGAFc32p,Animalia,,,Annelida,,,,Clitellata,Oligochaeta,,,,Crassiclitellata,Lumbricina,,,,,,,,,,,,,,,,Crassiclitellata,,recFMPkCMVPZ8SAyG,,,
Lumbricidae,FAMILY,ACCEPTED,,154884,http://www.marinespecies.org/aphia.php?p=taxdetails&id=154884,https://www.marinespecies.org/rest/AphiaClassificationByAphiaID/154884,urn:lsid:marinespecies.org:taxname:154884,https://airtable.com/tblLqtIyuwA7rbEC3/rec2RJFx5K3l64Q9t?blocks=bli5ItEhTDGAFc32p,Animalia,,,Annelida,,,,Clitellata,Oligochaeta,,,,Crassiclitellata,Lumbricina,,,,,,,Lumbricidae,,,,,,,,,Lumbricina,,rec2RJFx5K3l64Q9t,,,
Lumbricus,GENUS,ACCEPTED,,154885,http://www.marinespecies.org/aphia.php?p=taxdetails&id=154885,https://www.marinespecies.org/rest/AphiaClassificationByAphiaID/154885,urn:lsid:marinespecies.org:taxname:154885,https://airtable.com/tblLqtIyuwA7rbEC3/recVShHQaplhKf8VJ?blocks=bli5ItEhTDGAFc32p,Animalia,,,Annelida,,,,Clitellata,Oligochaeta,,,,Crassiclitellata,Lumbricina,,,,,,,Lumbricidae,,,,,Lumbricus,,,,Lumbricidae,,recVShHQaplhKf8VJ,,,
Lumbricus terrestris,SPECIES,ACCEPTED,Earthworm,1069627,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1069627,https://www.marinespecies.org/rest/AphiaClassificationByAphiaID/1069627,urn:lsid:marinespecies.org:taxname:1069627,https://airtable.com/tblLqtIyuwA7rbEC3/recIXOxReH92dFQZs?blocks=bli5ItEhTDGAFc32p,Animalia,,,Annelida,,,,Clitellata,Oligochaeta,,,,Crassiclitellata,Lumbricina,,,,,,,Lumbricidae,,,,,Lumbricus,,Lumbricus terrestris,,Lumbricus,LUMT,recIXOxReH92dFQZs,,,
Polychaeta,CLASS,ACCEPTED,Polychaete worm,883,http://www.marinespecies.org/aphia.php?p=taxdetails&id=883,https://www.marinespecies.org/rest/AphiaClassificationByAphiaID/883,urn:lsid:marinespecies.org:taxname:883,https://airtable.com/tblLqtIyuwA7rbEC3/receY74swTsrSHGZs?blocks=bli5ItEhTDGAFc32p,Animalia,,,Annelida,,,,Polychaeta,,,,,,,,,,,,,,,,,,,,,,Annelida,"POLY,POLY,POLY",receY74swTsrSHGZs,,,
Errantia,SUBCLASS,ACCEPTED,,754174,http://www.marinespecies.org/aphia.php?p=taxdetails&id=754174,https://www.marinespecies.org/rest/AphiaClassificationByAphiaID/754174,urn:lsid:marinespecies.org:taxname:754174,https://airtable.com/tblLqtIyuwA7rbEC3/recgVrIzrQ5O1sazI?blocks=bli5ItEhTDGAFc32p,Animalia,,,Annelida,,,,Polychaeta,Errantia,,,,,,,,,,,,,,,,,,,,,Polychaeta,,recgVrIzrQ5O1sazI,,,
Phyllodocida,ORDER,ACCEPTED,,892,http://www.marinespecies.org/aphia.php?p=taxdetails&id=892,https://www.marinespecies.org/rest/AphiaClassificationByAphiaID/892,urn:lsid:marinespecies.org:taxname:892,https://airtable.com/tblLqtIyuwA7rbEC3/recwLofyRDnXLBgSG?blocks=bli5ItEhTDGAFc32p,Animalia,,,Annelida,,,,Polychaeta,Errantia,,,,Phyllodocida,,,,,,,,,,,,,,,,,Errantia,,recwLofyRDnXLBgSG,,,
Aphroditiformia,SUBORDER,ACCEPTED,,927,http://www.marinespecies.org/aphia.php?p=taxdetails&id=927,https://www.marinespecies.org/rest/AphiaClassificationByAphiaID/927,urn:lsid:marinespecies.org:taxname:927,https://airtable.com/tblLqtIyuwA7rbEC3/rec1mRbZtSBb0ff6u?blocks=bli5ItEhTDGAFc32p,Animalia,,,Annelida,,,,Polychaeta,Errantia,,,,Phyllodocida,Aphroditiformia,,,,,,,,,,,,,,,,Phyllodocida,,rec1mRbZtSBb0ff6u,,,
Polynoidae,FAMILY,ACCEPTED,Scale worm,939,http://www.marinespecies.org/aphia.php?p=taxdetails&id=939,https://www.marinespecies.org/rest/AphiaClassificationByAphiaID/939,urn:lsid:marinespecies.org:taxname:939,https://airtable.com/tblLqtIyuwA7rbEC3/recau59fknxpUDSrJ?blocks=bli5ItEhTDGAFc32p,Animalia,,,Annelida,,,,Polychaeta,Errantia,,,,Phyllodocida,Aphroditiformia,,,,,,,Polynoidae,,,,,,,,,Aphroditiformia,POLYN,recau59fknxpUDSrJ,,,
