eventID,occurrenceID,measurementID,measurementMethod,measurementType,measurementTypeID,measurementUnit,measurementUnitID,measurementValue,measurementValueID
RICE001_NB_2016-06-27_MQ1,RICE001_NB_2016-06-27_MQ1_2557,RICE001_NB_2016-06-27_MQ1_2557_length,In the field,Length,NA,mm,NA,20,NA
RICE001_NB_2016-06-27_MQ1,RICE001_NB_2016-06-27_MQ1_2558,RICE001_NB_2016-06-27_MQ1_2558_length,In the field,Length,NA,mm,NA,21,NA
RICE001_NB_2016-06-27_MQ1,RICE001_NB_2016-06-27_MQ1_2559,RICE001_NB_2016-06-27_MQ1_2559_length,In the field,Length,NA,mm,NA,16,NA
RICE001_NB_2016-06-27_MQ1,RICE001_NB_2016-06-27_MQ1_2560,RICE001_NB_2016-06-27_MQ1_2560_length,In the field,Length,NA,mm,NA,18,NA
RICE001_NB_2016-06-27_MQ4,RICE001_NB_2016-06-27_MQ4_2561,RICE001_NB_2016-06-27_MQ4_2561_length,In the field,Length,NA,mm,NA,21,NA
RICE003_WB_2016-09-14_BQ2,RICE003_WB_2016-09-14_BQ2_2562,RICE003_WB_2016-09-14_BQ2_2562_length,In the field,Length,NA,mm,NA,19,NA
RICE003_WB_2016-09-14_FQ1,RICE003_WB_2016-09-14_FQ1_2563,RICE003_WB_2016-09-14_FQ1_2563_length,In the field,Length,NA,mm,NA,18,NA
RICE003_WB_2016-09-14_FQ2,RICE003_WB_2016-09-14_FQ2_2564,RICE003_WB_2016-09-14_FQ2_2564_length,In the field,Length,NA,mm,NA,7,NA
RICE003_WB_2016-09-14_FQ3,RICE003_WB_2016-09-14_FQ3_2565,RICE003_WB_2016-09-14_FQ3_2565_length,In the field,Length,NA,mm,NA,21,NA
RICE003_WB_2016-09-14_FQ3,RICE003_WB_2016-09-14_FQ3_2566,RICE003_WB_2016-09-14_FQ3_2566_length,In the field,Length,NA,mm,NA,11,NA
RICE003_WB_2016-09-14_MQ1,RICE003_WB_2016-09-14_MQ1_2567,RICE003_WB_2016-09-14_MQ1_2567_length,In the field,Length,NA,mm,NA,17,NA
RICE003_WB_2016-09-14_MQ1,RICE003_WB_2016-09-14_MQ1_2568,RICE003_WB_2016-09-14_MQ1_2568_length,In the field,Length,NA,mm,NA,16,NA
RICE003_WB_2016-09-14_MQ1,RICE003_WB_2016-09-14_MQ1_2569,RICE003_WB_2016-09-14_MQ1_2569_length,In the field,Length,NA,mm,NA,18,NA
RICE003_WB_2016-09-14_MQ1,RICE003_WB_2016-09-14_MQ1_2570,RICE003_WB_2016-09-14_MQ1_2570_length,In the field,Length,NA,mm,NA,15,NA
RICE003_WB_2016-09-14_MQ1,RICE003_WB_2016-09-14_MQ1_2571,RICE003_WB_2016-09-14_MQ1_2571_length,In the field,Length,NA,mm,NA,14,NA
RICE003_WB_2016-09-14_MQ1,RICE003_WB_2016-09-14_MQ1_2572,RICE003_WB_2016-09-14_MQ1_2572_length,In the field,Length,NA,mm,NA,19,NA
RICE003_WB_2016-09-14_MQ2,RICE003_WB_2016-09-14_MQ2_2573,RICE003_WB_2016-09-14_MQ2_2573_length,In the field,Length,NA,mm,NA,20,NA
RICE003_WB_2016-09-14_MQ2,RICE003_WB_2016-09-14_MQ2_2574,RICE003_WB_2016-09-14_MQ2_2574_length,In the field,Length,NA,mm,NA,19,NA
RICE003_WB_2016-09-14_MQ2,RICE003_WB_2016-09-14_MQ2_2575,RICE003_WB_2016-09-14_MQ2_2575_length,In the field,Length,NA,mm,NA,18,NA
RICE003_WB_2016-09-14_MQ2,RICE003_WB_2016-09-14_MQ2_2576,RICE003_WB_2016-09-14_MQ2_2576_length,In the field,Length,NA,mm,NA,22,NA
RICE003_WB_2016-09-14_MQ2,RICE003_WB_2016-09-14_MQ2_2577,RICE003_WB_2016-09-14_MQ2_2577_length,In the field,Length,NA,mm,NA,21,NA
RICE003_WB_2016-09-14_MQ2,RICE003_WB_2016-09-14_MQ2_2578,RICE003_WB_2016-09-14_MQ2_2578_length,In the field,Length,NA,mm,NA,16,NA
RICE003_WB_2016-09-14_MQ2,RICE003_WB_2016-09-14_MQ2_2579,RICE003_WB_2016-09-14_MQ2_2579_length,In the field,Length,NA,mm,NA,14,NA
RICE003_WB_2016-09-14_MQ3,RICE003_WB_2016-09-14_MQ3_2580,RICE003_WB_2016-09-14_MQ3_2580_length,In the field,Length,NA,mm,NA,19,NA
RICE003_WB_2016-09-14_MQ3,RICE003_WB_2016-09-14_MQ3_2581,RICE003_WB_2016-09-14_MQ3_2581_length,In the field,Length,NA,mm,NA,17,NA
