eventID,observationID,scientificName,scientificNameID,taxonRank,authority,vernacularName,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,basisOfRecord,occurrenceStatus,occurrenceRemarks
RICE001_NB_2016-06-27_BQ1,RICE001_NB_2016-06-27_BQ1_1,Cyanoplax dentiens,urn:lsid:marinespecies.org:taxname:386414,SPECIES,"(A. Gould, 1846)",NA,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_FQ1,RICE001_NB_2016-06-27_FQ1_2,Cyanoplax dentiens,urn:lsid:marinespecies.org:taxname:386414,SPECIES,"(A. Gould, 1846)",NA,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_FQ1,RICE001_NB_2016-06-27_FQ1_3,Pisaster ochraceus,urn:lsid:marinespecies.org:taxname:240755,SPECIES,"(Brandt, 1835)",Ochre star,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_FQ1,RICE001_NB_2016-06-27_FQ1_4,Gastropoda,urn:lsid:marinespecies.org:taxname:101,CLASS,"Cuvier, 1795",NA,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_FQ2,RICE001_NB_2016-06-27_FQ2_5,Pentidotea,urn:lsid:marinespecies.org:taxname:249157,GENUS,"Richardson, 1905",NA,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_FQ2,RICE001_NB_2016-06-27_FQ2_6,Gastropoda,urn:lsid:marinespecies.org:taxname:101,CLASS,"Cuvier, 1795",NA,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,10,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_FQ3,RICE001_NB_2016-06-27_FQ3_7,Pagurus beringanus,urn:lsid:marinespecies.org:taxname:366657,SPECIES,"(Benedict, 1892)",Bering hermit crab,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,8,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_FQ3,RICE001_NB_2016-06-27_FQ3_8,Gastropoda,urn:lsid:marinespecies.org:taxname:101,CLASS,"Cuvier, 1795",NA,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,12,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_FQ4,RICE001_NB_2016-06-27_FQ4_9,Pagurus beringanus,urn:lsid:marinespecies.org:taxname:366657,SPECIES,"(Benedict, 1892)",Bering hermit crab,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,19,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_FQ4,RICE001_NB_2016-06-27_FQ4_10,Pachygrapsus crassipes,urn:lsid:marinespecies.org:taxname:395016,SPECIES,"Randall, 1840",Striped Shore crab,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_FQ4,RICE001_NB_2016-06-27_FQ4_11,Pugettia producta,urn:lsid:marinespecies.org:taxname:240780,SPECIES,"(Randall, 1840)",Northern kelp crab,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_FQ4,RICE001_NB_2016-06-27_FQ4_12,Gastropoda,urn:lsid:marinespecies.org:taxname:101,CLASS,"Cuvier, 1795",NA,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,4,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_FQ5,RICE001_NB_2016-06-27_FQ5_13,Pentidotea,urn:lsid:marinespecies.org:taxname:249157,GENUS,"Richardson, 1905",NA,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,3,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_FQ5,RICE001_NB_2016-06-27_FQ5_14,Cyanoplax dentiens,urn:lsid:marinespecies.org:taxname:386414,SPECIES,"(A. Gould, 1846)",NA,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,14,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_FQ5,RICE001_NB_2016-06-27_FQ5_15,Onchidella borealis,urn:lsid:marinespecies.org:taxname:446167,SPECIES,"Dall, 1871",Leather limpet,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,12,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
